,name,precision,recall,fscore,fix,docs,feat,chore,refactor,test
0,sequelize,0.74,0.71,0.72,603,335,184,156,114,59
1,ionic-framework,0.65,0.62,0.61,2818,1300,715,1754,664,519
2,element3,0.54,0.46,0.45,330,195,57,387,243,98
3,vite,0.72,0.71,0.69,757,184,299,374,151,63
4,vee-validate,0.76,0.73,0.73,262,446,273,449,123,71
5,stencil,0.59,0.58,0.57,1771,122,589,1162,322,480
6,pgjdbc,0.59,0.51,0.5,224,73,53,107,59,85
7,ant-design,0.73,0.72,0.72,1641,1597,588,634,238,246
8,rest.js,0.64,0.57,0.58,206,234,121,99,75,217
9,gatsby,0.71,0.64,0.66,2307,868,1089,3893,104,80
10,instantsearch.js,0.65,0.61,0.61,606,380,433,802,65,95
11,commitlint,0.73,0.71,0.71,180,183,81,304,54,53
12,aks-engine,0.63,0.6,0.59,542,185,456,604,84,315
13,angular,0.64,0.59,0.58,5063,3766,2394,1097,2696,1146
14,angular.js,0.69,0.55,0.55,1778,2936,587,1238,384,288
15,vue-test-utils,0.72,0.69,0.69,237,418,121,115,78,70
16,material-components-web,0.66,0.65,0.64,912,648,690,692,212,150
17,zeebe,0.7,0.55,0.58,744,236,714,4241,85,371
18,RSSHub,0.78,0.75,0.76,764,367,1214,93,49,79
19,loopback-next,0.72,0.64,0.66,764,513,830,2539,144,104
20,renovate,0.64,0.64,0.62,2978,444,1210,1033,1101,128
21,angular-cli,0.66,0.62,0.61,2133,498,906,357,773,508
22,deno,0.69,0.68,0.67,722,218,412,187,324,82
23,ng-bootstrap,0.6,0.56,0.54,410,176,309,439,143,119
24,serverless,0.75,0.68,0.66,428,249,252,331,433,223
25,vuetify,0.65,0.58,0.55,2176,2553,523,837,501,199
26,camunda-bpm-platform,0.59,0.59,0.58,3470,58,2201,5178,294,734
27,node-mongodb-native,0.66,0.56,0.55,521,191,223,261,585,686
28,components,0.7,0.69,0.67,3001,761,943,1125,537,146
29,js-ipfs,0.73,0.7,0.71,700,402,461,2192,107,192
30,goreleaser,0.71,0.64,0.65,472,318,275,194,76,111
31,pnpm,0.64,0.62,0.61,1691,249,746,1171,545,353
32,vue-cli,0.64,0.64,0.62,950,380,478,553,135,143
33,axe-core,0.69,0.7,0.69,527,119,225,295,59,66
34,verdaccio,0.58,0.54,0.52,318,131,132,601,311,84
35,webiny-js,0.6,0.56,0.57,3902,60,1460,1509,510,471
36,vant,0.75,0.73,0.73,758,735,899,899,104,145
37,chakra-ui,0.55,0.45,0.44,761,742,344,1733,253,132
38,G2,0.64,0.62,0.61,667,67,467,419,126,93
39,rxjs,0.66,0.59,0.59,671,667,405,818,675,509
40,super-productivity,0.7,0.45,0.43,1204,99,3393,391,626,101
41,electron-builder,0.65,0.61,0.62,871,173,567,150,98,73
42,serenity-js,0.61,0.59,0.58,274,217,175,306,56,83
