,name,precision,recall,fscore,fix,docs,refactor,test,feat,chore
0,sequelize,0.67,0.67,0.64,116,85,41.0,23.0,22,3.0
1,ionic-framework,0.76,0.76,0.75,821,209,51.0,61.0,159,255.0
2,element3,0.54,0.52,0.5,60,2,93.0,24.0,8,77.0
3,vite,0.66,0.65,0.65,168,63,18.0,9.0,42,67.0
4,vee-validate,0.78,0.77,0.77,44,76,12.0,7.0,50,136.0
5,stencil,0.62,0.62,0.58,356,31,28.0,72.0,157,246.0
6,pgjdbc,0.74,0.72,0.71,45,11,5.0,19.0,6,35.0
7,ant-design,0.78,0.79,0.78,301,323,53.0,65.0,98,153.0
8,rest.js,0.68,0.64,0.66,48,57,12.0,39.0,35,1.0
9,gatsby,0.66,0.65,0.65,573,93,17.0,16.0,206,765.0
10,instantsearch.js,0.63,0.67,0.65,134,21,26.0,19.0,137,140.0
11,commitlint,0.72,0.63,0.6,31,36,17.0,31.0,14,42.0
12,aks-engine,0.76,0.74,0.75,82,35,4.0,66.0,100,150.0
13,angular,0.73,0.7,0.68,929,1008,704.0,278.0,313,1.0
14,angular.js,0.78,0.77,0.74,289,552,106.0,78.0,101,317.0
15,vue-test-utils,0.74,0.67,0.68,46,73,4.0,7.0,23,55.0
16,material-components-web,0.63,0.52,0.48,183,63,115.0,25.0,195,80.0
17,zeebe,0.71,0.77,0.7,147,31,45.0,31.0,41,983.0
18,RSSHub,0.84,0.83,0.83,209,33,4.0,,313,22.0
19,loopback-next,0.85,0.85,0.84,94,58,9.0,11.0,103,704.0
20,renovate,0.69,0.68,0.66,517,170,247.0,27.0,290,132.0
21,angular-cli,0.71,0.62,0.61,360,71,324.0,166.0,114,
22,deno,0.69,0.66,0.64,144,41,51.0,11.0,66,76.0
23,ng-bootstrap,0.67,0.48,0.47,94,61,19.0,58.0,55,32.0
24,serverless,0.76,0.76,0.76,98,21,131.0,33.0,45,55.0
25,vuetify,0.79,0.77,0.77,232,890,29.0,2.0,44,162.0
26,camunda-bpm-platform,0.69,0.68,0.68,490,3,5.0,107.0,388,1395.0
27,node-mongodb-native,0.66,0.61,0.6,150,26,100.0,94.0,38,94.0
28,components,0.75,0.68,0.65,619,194,183.0,62.0,197,48.0
29,js-ipfs,0.77,0.72,0.73,134,105,32.0,19.0,70,451.0
30,goreleaser,0.79,0.76,0.75,83,76,9.0,8.0,68,45.0
31,pnpm,0.71,0.64,0.65,403,64,67.0,120.0,97,386.0
32,vue-cli,0.72,0.72,0.71,199,105,27.0,21.0,66,110.0
33,axe-core,0.65,0.68,0.64,100,29,23.0,1.0,49,61.0
34,verdaccio,0.59,0.56,0.55,54,6,24.0,4.0,47,198.0
35,webiny-js,0.7,0.71,0.69,812,2,58.0,90.0,273,350.0
36,vant,0.84,0.83,0.83,114,231,2.0,59.0,110,216.0
37,chakra-ui,0.49,0.51,0.46,182,204,33.0,14.0,120,243.0
38,G2,0.69,0.65,0.64,147,52,27.0,15.0,85,83.0
39,rxjs,0.68,0.64,0.64,126,84,263.0,31.0,40,212.0
40,super-productivity,0.73,0.72,0.7,254,53,126.0,57.0,623,50.0
41,electron-builder,0.68,0.65,0.63,197,13,,10.0,89,78.0
42,serenity-js,0.64,0.59,0.56,53,45,7.0,39.0,17,61.0
43,reaction,0.59,0.58,0.58,162,27,315.0,203.0,237,206.0
44,stryker,0.52,0.54,0.51,56,29,18.0,22.0,68,33.0
45,carbon,0.87,0.87,0.87,410,72,13.0,4.0,221,317.0
46,lerna,0.72,0.68,0.67,40,17,42.0,22.0,96,73.0
47,influxdb,0.62,0.6,0.58,377,11,56.0,31.0,296,274.0
48,superset,0.74,0.72,0.71,167,6,21.0,41.0,98,87.0
49,webpack-dev-server,0.69,0.59,0.6,22,14,17.0,8.0,10,10.0
50,Semantic-UI-React,0.74,0.72,0.72,111,134,,3.0,33,75.0
51,karma,0.64,0.6,0.61,115,18,49.0,2.0,31,91.0
52,fxa,0.64,0.66,0.62,801,22,123.0,33.0,456,319.0
53,jina,0.67,0.64,0.65,169,89,92.0,65.0,95,154.0
54,material,0.68,0.69,0.65,355,145,22.0,6.0,60,74.0
55,taro,0.7,0.63,0.65,634,26,51.0,11.0,147,286.0
